ID attività,Data dell’attività,Nome attività,Tipo attività,Descrizione dell’attività,Tempo complessivo,Distanza,Sforzo relativo,Spostamenti vari,Attrezzatura attività,Nome del file,Peso dell’atleta,Peso della bici,Tempo complessivo,Tempo in movimento,Distanza,Velocità massima,Velocità media,Dislivello complessivo,Perdita di dislivello,Dislivello minimo,Dislivello massimo,Pendenza massima,Pendenza media,Pendenza positiva media,Pendenza negativa media,Cadenza massima,Cadenza media,Frequenza cardiaca massima,Frequenza cardiaca media,Watt massimi,Watt medi,Calorie,Temperatura massima,Temperatura media,Sforzo relativo,Lavoro totale,Numero di corse,Tempo in salita,Tempo in discesa,Altro tempo,Sforzo percepito,translation missing: it-IT.lib.export.portability_exporter.activities.horton_values.type,translation missing: it-IT.lib.export.portability_exporter.activities.horton_values.start_time,Potenza media ponderata,Conteggio potenza,Usa Sforzo percepito,Sforzo relativo percepito,Spostamenti vari,Peso totale sollevato,Da caricamento,Distanza regolata in base alla pendenza,Ora osservazione meteorologica,Condizioni meteorologiche,Temperatura atmosferica,Temperatura apparente,Punto di rugiada,Umidità,Pressione atmosferica,Velocità del vento,Raffica di vento,Direzione del vento,Intensità precipitazione,Ora dell’alba,Ora del tramonto,Fase lunare,Bicicletta,Attrezzatura,Probabilità di precipitazione,Tipo di precipitazione,Copertura nuvolosa,Visibilità,Indice UV,Livelli di ozono,translation missing: it-IT.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: it-IT.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: it-IT.lib.export.portability_exporter.activities.horton_values.avg_flow
2115231699,"25 gen 2019, 12:46:28",Camminata pomeridiana,Camminata,,3647,"3,71",,false,,activities/2115231699.gpx,,,3647.0,2924.0,3711.89990234375,6.0,,22.583213806152344,,13.399999618530273,34.20000076293945,9.5,-0.0026940382085740566,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2197899250,"07 mar 2019, 19:03:24",Giro serale,Ciclismo,,5529,"28,12",,false,,activities/2197899250.gpx,0.0,,5529.0,4240.0,28123.0,14.600000381469727,,273.12835693359375,,4.099999904632568,144.10000610351562,13.899999618530273,-0.0007111617014743388,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2234638201,"23 mar 2019, 16:02:06",Amo scendere,Corsa,,1952,"15,61",,false,,activities/2234638201.gpx,0.0,,1952.0,1948.0,15616.400390625,15.600000381469727,,57.98115158081055,,134.39999389648438,651.7000122070312,10.300000190734863,-3.160139322280884,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2268234167,"06 apr 2019, 08:12:47",Quick after breakfast run,Corsa,,925,"3,06",,false,,activities/2268234167.gpx,0.0,,925.0,914.0,3068.300048828125,5.300000190734863,,61.09810256958008,,120.19999694824219,163.8000030517578,13.899999618530273,0.032591335475444794,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2270856987,"07 apr 2019, 05:14:34",David’s tiny birthday hike,Corsa,,5965,"8,49",,false,,activities/2270856987.gpx,0.0,,5965.0,4670.0,8491.5,24.600000381469727,,275.71917724609375,,1189.4000244140625,1366.0999755859375,48.599998474121094,-0.9409409165382385,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2279760732,"10 apr 2019, 15:49:40",Wednesday Eveninf,Corsa,,1373,"4,46",,false,,activities/2279760732.gpx,0.0,,1373.0,1363.0,4466.2998046875,9.0,,77.3450927734375,,120.19999694824219,165.10000610351562,13.899999618530273,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286002231,"13 apr 2019, 09:32:02",Piece of today,Ciclismo,,1751,"7,35",,false,,activities/2286002231.gpx,0.0,,1751.0,1544.0,7353.5,13.300000190734863,,198.76661682128906,,20.200000762939453,206.39999389648438,13.0,1.6359556913375854,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2332296740,"27 apr 2019, 15:29:26",Thorns in the Field,Corsa,,2923,"8,49",,false,,activities/2332296740.gpx,0.0,,,2631.0,8496.099609375,6.599999904632568,,125.75499725341797,,120.19999694824219,180.6999969482422,22.299999237060547,-0.007062063552439213,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362840807,"12 mag 2019, 18:08:39",Loving Malta,Corsa,"",5381,"15,63",,false,,activities/2362840807.gpx,0.0,,,5022.0,15629.2998046875,8.199999809265137,,207.81979370117188,,-4.699999809265137,57.900001525878906,25.399999618530273,-0.0006398239056579769,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463274311,"19 giu 2019, 15:25:57",Running > Metro,Corsa,,1243,"3,88",,false,,activities/2463274311.gpx,0.0,,,1192.0,3884.300048828125,8.800000190734863,,118.64749908447266,,21.899999618530273,137.3000030517578,19.700000762939453,2.8756790161132812,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469833604,"22 giu 2019, 05:28:00",Latina 5k,Corsa,,1667,"5,41",,false,,activities/2469833604.gpx,0.0,,1667.0,1643.0,5417.2001953125,6.300000190734863,,21.98923110961914,,18.0,26.5,6.699999809265137,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
